sha256	bytes	path
4b6ffce43a59dc7a724e1daee06236a40fef67a2ea65ca53b8dbf22d7904ed72	180	.gitignore
9506d8dab89d7448b2244e0966aee67bca36c5d702d58207de81c07ba999a6f6	891	CITATION.cff
cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	11358	LICENSE
9ba9550ad48438d0836ddab3da480b3b69ffa0aac7b7878b5a0039e7ab429411	18657	LICENSE-DATA.txt
895d131de0b52068408dcc3f539cf5caf49e4a073d25effcfb330bcf06966d26	1411	LICENSES.md
37202be04796c04d3939fe2a6caa82f90ddd907397423c10dbb4ed06ca7318b1	1317	PUBLIC_EVIDENCE_SCOPE.md
c07e8a5caa302c1447c47371638d9651a98b836edf2223aee46a0b94406b5dc1	5795	README.md
0ba327e0dcb90f446ec4d0de0a65529da732164b6db82bb5a5d675f39f770434	353	analysis/methodology/STATUS.txt
a8c3a58bbc90f6ba218f195e0445128aa195abc330326474e27f5ceeaa341dfc	3307	analysis/methodology/corrected-gate-replay-summary.json
0912aef083ee5979dadc38e56301abea6c65b0abe4413f5efaceef71d9bdddd5	604	analysis/methodology/input-evidence-verification.json
c2a9c05be4b971271a51a38f01616a4f4383f8edd643f95fc22b0e2208366ab9	130	analysis/methodology/methodology-source-facts.json
cd3ddaaf4449a232222b3c625ae7de66915fa3fde0b89af9ff626935e08ad4b1	2121	analysis/methodology/mhb-methodology-audit-correction-note-v0.1.md
43baf523f33d733fdf3b3408d64fdfcba36c7ac3ef39363296ffa785c04ee3bc	5910	analysis/methodology/paper-facing-final-methodology-note.md
82b70ff95d508aab5383f19b5db3b403cdf14a8fc006942daa4a1d265e2d5195	1176	analysis/methodology/retrospective-three-arm-comparability-summary.json
f41243f9ab5d37a163f1b04a5115122eb0d76178f0d6c2d649cd10698d2a9b71	44681	analysis/methodology/retrospective-three-arm-comparability.csv
c5544bb0af5b733bcde59f55cdf4fc131525e54cdddd43ea6c0d749f73c57828	627	analysis/methodology/source-verification.json
fe773b916f1b1d7d65997fffa6ddf0c021694fcc23213ab76cb54070a0d261fe	3064	docs/EVIDENCE_MAP.md
5ae225a94ad2067442424f8b12e2f1a1ca6830e0f70599771b80999d481738b0	3385	docs/METHODS_OVERVIEW.md
691c5190891628bc6c922597436bcc86aeed54ec59c1ab66dde39b36b0da89be	919	human-validation/README.md
d91fa5ce8459189e5a5b7df8cf35c50bb33cece5beca89660f06fecbfa7f6e72	3646	human-validation/adjudication-decisions-public.csv
a71f19f9c0fe2310ed02947b41c967ca7e78704a832cc4100caceb19374710f9	184	human-validation/adjudication-summary.csv
d5a03178429ee9e60265f2a3277b0dfa8824d4ae4d1e724fb486c1f524dbbf08	540	human-validation/agreement-summary.json
6ad92905f5d41200b97a2d1ddca5a30cb83b884c894228c605d94a55ba870eb0	116760	human-validation/casebook-review-public.csv
e635d5e10b9ac0501bd042b061eb9fccde82eeb078e64ca7f300d143ca706f56	2348	protocols/hosted-v0.4.2/BUILD_VALIDATION.md
38cea25fb0271ef26da3cf692916da6f2b27a42fc498a9e65659ccf6b5b1e640	394	protocols/hosted-v0.4.2/IDENTITY.txt
2223db53bd82b4981b7c2bcc3c105d014f5e8ee4273e70a37b1f80a786bfb9ca	1680	protocols/hosted-v0.4.2/PRE_RUN_COMPATIBILITY_BASIS.md
b9a75242da40b97badbc51c3664f3c0d7a00018014b4929278dc19ae0073b766	2526	protocols/hosted-v0.4.2/README.md
9468b9399c489d4768e92b5573b694ce9483a4917e7bdc788f121e4eaed85b8f	2962	protocols/hosted-v0.4.2/registered-config-snapshot-public.json
31c5807938c01f589435e61256c95c7d8b3808ed8f0d69fab28dc49d27a204d1	2638	protocols/hosted-v0.4.2/src/hosted_db.py
9d5de8b41c2dd78bb63b31d76016286c97e28c7ed43660bf62cd21a1f3b15fd4	25990	protocols/hosted-v0.4.2/src/postprocess.py
ec6a82220c1e60b5b44a879ff73497412055c9fc90d4f72dd5fc8db100d7f16a	8720	protocols/hosted-v0.4.2/src/pre_run_checks.py
b72a75c7bc68cf1965bbc147b99db623b3580f4795f9126941fea1a9378fe500	1095	protocols/hosted-v0.4.2/src/qdrant_snapshot.py
f65415164898e3f67635fd618d21669a9c5d13654c72bee2871bd7ceed86aa31	19993	protocols/hosted-v0.4.2/src/run_registered.py
2f97cf03186d385038b819e4782fc631f2eab5f9d9cdb05b33555deb6be952d9	695	protocols/v0.2.4/FROZEN_SOURCE_PROVENANCE.md
7d5219f15e621764ee183f155318e879f88f54e68ecdb6afd506872f536219c6	17374	protocols/v0.2.4/frozen-protocol/cases/pilot.yaml
b1719d88b3ed8bb4fc140bda80e4f40dfe364bdcd932aadc81939f88b51ecdd7	1118	protocols/v0.2.4/frozen-protocol/configs/default.yaml
6e4f08036f2153554e743d17e0b74869d2d69e43a331c8fff4058e5418474d38	1118	protocols/v0.2.4/frozen-protocol/configs/stochastic-v0.2.4.yaml
2a827122322d5e931801b29dce6c77252aada46d45b7911f7d354db71f9be55a	989	protocols/v0.2.4/frozen-protocol/diagnostics/failed_structured_attempts.sql
79894ffa640bd3e7b1d0928ce6324a706ca4528074147270b8185d1d59cc93ad	1082	protocols/v0.2.4/frozen-protocol/diagnostics/memory_mode_integrity.sql
9b5f9b73aac8814f1a4ea4d806effd3390337a03c21c2872a726c2daeea010e8	1184	protocols/v0.2.4/frozen-protocol/diagnostics/structured_failures.sql
4993a3222a0072380acea3bac580b5cacbd74ed2a6e14f5fae718e43f6771cc4	1244	protocols/v0.2.4/frozen-protocol/diagnostics/structured_retries.sql
7e5215b7fcc41b0f820c01778344471f3a2aed091da6ad75ea1eda0c4ab4a6e0	7696	protocols/v0.2.4/frozen-protocol/migrations/001_initial.sql
b0714bea5d415130992b0ba01a53f10759620d50b1e53333154428a73190b957	1426	protocols/v0.2.4/frozen-protocol/migrations/002_protocol_v0_2.sql
2aaf1cbfe12d4339d90acc7545b18c2d1356f3042d8b3ee4f275c8d23d23f86a	327	protocols/v0.2.4/frozen-protocol/migrations/003_protocol_v0_2_3.sql
fa12a3c733a19ab3661f9fbe6a655c483051c13693d55dbfa393f82c7b3a8f7d	1051	protocols/v0.2.4/frozen-protocol/pyproject.toml
2b25e610812ee8c7027eb93a83ff6288ce9fdde887ce1d3f80a3584482ef70bd	9176	protocols/v0.2.4/frozen-protocol/research_protocol_v0.1.md
ce5cdad4051b78c76a3712cd43b778411c82196047d0a603af173fb33534811e	3728	protocols/v0.2.4/frozen-protocol/research_protocol_v0.2.1.md
a26dedb9ccdf91b089dc5ea929cd3873aa7db99ef4469a1bb4112b79b5416509	3822	protocols/v0.2.4/frozen-protocol/research_protocol_v0.2.2.md
10dccce281273e7b165d2b51f771419bde02b3849795adb68c68406501e204ca	4883	protocols/v0.2.4/frozen-protocol/research_protocol_v0.2.3.md
93666a71b42fe1c6492e820be6c407d3264a81576a8697910b459f2f15a3b9d3	3478	protocols/v0.2.4/frozen-protocol/research_protocol_v0.2.4.md
8fd9843e1e50dba89f671efe18e0b789274aca8a8f41b9d2da46ee813612694e	6825	protocols/v0.2.4/frozen-protocol/research_protocol_v0.2.md
7580e795d7ef34bd2b3d486bb319b224a17dc3eb079109f0c495a6b21706b6dd	8570	protocols/v0.2.4/frozen-protocol/schemas/case.schema.json
13cd8122c12c6da09e6556143876408bda04a41feebd7fa5738d4aaf6c48fdd0	1400	protocols/v0.2.4/frozen-protocol/schemas/evidence.schema.json
4923aea15fb2c74305b59080c3565d9a8ec59f4f0ae267c731de3f98b06bdc21	102	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/__init__.py
15cde07f04f976259cabea789d8d44205c98c9c34133565c3d49e7bacf5ba283	1426	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/analysis.py
4f6eb749f3097143a20480120f48943861a646c5994cd1732f2d13fa1c1da67d	20325	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/cli.py
10f5a96c9a3aff5b4c79b810a659e2ed049c3447156f2d2997ddc2bb86c70750	3287	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/config.py
77ec1fc1383956cf146105aa3ae5445309e6447a4cde755268a05a37f39ac306	10279	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/domain.py
7f4311b638cb39a98116b676e0596ee047a87804f4b3772df6306ede23883586	26898	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/experiment.py
68e137cd9b3b07018978631d1df546526b4e0830a01990fae95b2415534dfbb3	4358	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/gate.py
e2d71442f57d96bd03a62a5f8d03b572e3b81ab5a735b6c1b3c9e471d24579ef	654	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/hashing.py
ca6297181bf5be86822943eada69a05a63a2d4913bed4aaa4912790ba36b825e	3881	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/metrics.py
b0a1f3d4416051d88b5c4935bf19f27b49f2351c8f8e5c9c465bcdd8c549622e	8253	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/ollama.py
d156aca9806d031c891d71384760aeb81acc2fe4c5a405b38666df27aa19f249	4801	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/prompts.py
f40b6a0d77f7d745dab252a976c31a3dec532852edf627f4c12671bf1b688748	2769	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/protocol.py
3f3b836a4a823ce52de023145cbe2227bbcf0c38032b72235ce62605a73814ae	29291	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/reporting.py
3bff46a5ac58359b7e4ed752f7e3a5342cba83c47bacbb3e6e3b863f1ed8cee3	26323	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/storage.py
05054eb36fd3cccac8cdda1258a97abea8b79aefba299862b0ec63750d337296	3399	protocols/v0.2.4/frozen-protocol/src/memory_handoff_bench/vector_store.py
95c7272c1445a8648628a377ebcf0552a78af93b9d9f17d8026933ab9fa96774	106463	protocols/v0.2.4/frozen-protocol/uv.lock
17eeb49d6dcfc0e9998982dc26367867f0bcc6361f281828982281328879abf0	3801	protocols/v0.2.4/protocol_lock-v0.2.4.json
56d76d6b2fafcd66f3331627d85ee07b14956b378e1041ebc1b528effcd1928c	4358	protocols/v0.3/frozen-protocol/HUMAN_VALIDATION_PLAN_v0.3.md
e56cee86e551eae7c0eb3ac4601d5bd03ca8a1fc98788864b6a7e1dbec71ad00	4767	protocols/v0.3/frozen-protocol/V0.3_PRE_RUN_CHECKLIST.md
7d5219f15e621764ee183f155318e879f88f54e68ecdb6afd506872f536219c6	17374	protocols/v0.3/frozen-protocol/cases/pilot.yaml
a6a200a37efcedeb9c387a5efb30db4e0860da7ad96deb1d58b13a90cf263848	1413	protocols/v0.3/frozen-protocol/configs/counterfactual-v0.3.yaml
b1719d88b3ed8bb4fc140bda80e4f40dfe364bdcd932aadc81939f88b51ecdd7	1118	protocols/v0.3/frozen-protocol/configs/default.yaml
6e4f08036f2153554e743d17e0b74869d2d69e43a331c8fff4058e5418474d38	1118	protocols/v0.3/frozen-protocol/configs/stochastic-v0.2.4.yaml
2a827122322d5e931801b29dce6c77252aada46d45b7911f7d354db71f9be55a	989	protocols/v0.3/frozen-protocol/diagnostics/failed_structured_attempts.sql
79894ffa640bd3e7b1d0928ce6324a706ca4528074147270b8185d1d59cc93ad	1082	protocols/v0.3/frozen-protocol/diagnostics/memory_mode_integrity.sql
9b5f9b73aac8814f1a4ea4d806effd3390337a03c21c2872a726c2daeea010e8	1184	protocols/v0.3/frozen-protocol/diagnostics/structured_failures.sql
4993a3222a0072380acea3bac580b5cacbd74ed2a6e14f5fae718e43f6771cc4	1244	protocols/v0.3/frozen-protocol/diagnostics/structured_retries.sql
7e5215b7fcc41b0f820c01778344471f3a2aed091da6ad75ea1eda0c4ab4a6e0	7696	protocols/v0.3/frozen-protocol/migrations/001_initial.sql
b0714bea5d415130992b0ba01a53f10759620d50b1e53333154428a73190b957	1426	protocols/v0.3/frozen-protocol/migrations/002_protocol_v0_2.sql
2aaf1cbfe12d4339d90acc7545b18c2d1356f3042d8b3ee4f275c8d23d23f86a	327	protocols/v0.3/frozen-protocol/migrations/003_protocol_v0_2_3.sql
5f837a687bfc676786385e2d07be9bd4c5dc661e061e7096a6ff6007789e521c	2132	protocols/v0.3/frozen-protocol/migrations/004_protocol_v0_3.sql
726d16caa328b4798de732e2600d1cdf0c283c470f1142f416593f15481efc07	1051	protocols/v0.3/frozen-protocol/pyproject.toml
17eeb49d6dcfc0e9998982dc26367867f0bcc6361f281828982281328879abf0	3801	protocols/v0.3/frozen-protocol/reproducibility/frozen-protocol-v0.2.4/protocol_lock.json
2b25e610812ee8c7027eb93a83ff6288ce9fdde887ce1d3f80a3584482ef70bd	9176	protocols/v0.3/frozen-protocol/research_protocol_v0.1.md
ce5cdad4051b78c76a3712cd43b778411c82196047d0a603af173fb33534811e	3728	protocols/v0.3/frozen-protocol/research_protocol_v0.2.1.md
a26dedb9ccdf91b089dc5ea929cd3873aa7db99ef4469a1bb4112b79b5416509	3822	protocols/v0.3/frozen-protocol/research_protocol_v0.2.2.md
10dccce281273e7b165d2b51f771419bde02b3849795adb68c68406501e204ca	4883	protocols/v0.3/frozen-protocol/research_protocol_v0.2.3.md
93666a71b42fe1c6492e820be6c407d3264a81576a8697910b459f2f15a3b9d3	3478	protocols/v0.3/frozen-protocol/research_protocol_v0.2.4.md
8fd9843e1e50dba89f671efe18e0b789274aca8a8f41b9d2da46ee813612694e	6825	protocols/v0.3/frozen-protocol/research_protocol_v0.2.md
e5fef1f06cce084a0c3f417af3bba159cf83af80ceec8235babd2ed38ec5b1f8	11887	protocols/v0.3/frozen-protocol/research_protocol_v0.3.md
7580e795d7ef34bd2b3d486bb319b224a17dc3eb079109f0c495a6b21706b6dd	8570	protocols/v0.3/frozen-protocol/schemas/case.schema.json
76713dabf264ba03661a519ca5781a72cac81991ee67392b1de77ca28aae2574	2303	protocols/v0.3/frozen-protocol/schemas/evidence.schema.json
6af8716fc4dd094b1018a449dafb76474016a113a491f893b17fba6a99e9b770	102	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/__init__.py
15cde07f04f976259cabea789d8d44205c98c9c34133565c3d49e7bacf5ba283	1426	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/analysis.py
01a70d4353d533a2156b55d32fc4e143bb8a2c18127e99067821ff2b1b5c88b3	41586	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/cli.py
3a7df842fdf905c51d176d64e0e67650ee2dd3a48d30d8fcf313bfe1b431cf77	5678	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/config.py
e21a29c88a321d5cc37230f317e587b461ad8e14e471be89e8435c1f69548d99	24018	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/counterfactual.py
77ec1fc1383956cf146105aa3ae5445309e6447a4cde755268a05a37f39ac306	10279	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/domain.py
abbcb233ea9397c8b1a2e47cce76b9643a0c27d8790fccc7f27a22a3659f8a06	33738	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/experiment.py
68e137cd9b3b07018978631d1df546526b4e0830a01990fae95b2415534dfbb3	4358	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/gate.py
e2d71442f57d96bd03a62a5f8d03b572e3b81ab5a735b6c1b3c9e471d24579ef	654	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/hashing.py
dbbca671eda1eeb9ab8e32e43127c5dfeabb491ae32ca12c212320d909ac8e78	11984	protocols/v0.3/frozen-protocol/src/memory_handoff_bench/human_review.py
